current_act,Statement,Opinion,Backchannel,YesNoQuestion,WhQuestion/OpenQuestion,Agreement,Answer,Directive,Repair/Hedge,Abandoned/Other
Statement,0.2147239264,0.1932515337,0.2331288344,0.0736196319,0.1042944785,0.0950920245,0.0000000000,0.0030674847,0.0030674847,0.0797546012
Opinion,0.0853658537,0.2164634146,0.1310975610,0.0426829268,0.0670731707,0.3993902439,0.0000000000,0.0030487805,0.0000000000,0.0548780488
Backchannel,0.3642857143,0.2142857143,0.0000000000,0.0928571429,0.2500000000,0.0000000000,0.0000000000,0.0000000000,0.0071428571,0.0714285714
YesNoQuestion,0.4408602151,0.2043010753,0.0430107527,0.0322580645,0.0215053763,0.1720430108,0.0215053763,0.0215053763,0.0215053763,0.0215053763
WhQuestion/OpenQuestion,0.4698795181,0.2590361446,0.0240963855,0.1084337349,0.0060240964,0.0240963855,0.0000000000,0.0060240964,0.0240963855,0.0783132530
Agreement,0.1774193548,0.4784946237,0.0000000000,0.0215053763,0.1451612903,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1774193548
Answer,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5000000000
Directive,0.1666666667,0.3333333333,0.3333333333,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1666666667
Repair/Hedge,0.0000000000,0.2222222222,0.2222222222,0.2222222222,0.2222222222,0.0000000000,0.0000000000,0.0000000000,0.1111111111,0.0000000000
Abandoned/Other,0.1027027027,0.0486486486,0.0324324324,0.0702702703,0.1729729730,0.0216216216,0.0000000000,0.0054054054,0.0000000000,0.5459459459
