current_act,Statement,Opinion,Backchannel,YesNoQuestion,WhQuestion/OpenQuestion,Agreement,Answer,Directive,Repair/Hedge,Abandoned/Other
Statement,0.0909090909,0.3333333333,0.0121212121,0.2969696970,0.2000000000,0.0060606061,0.0000000000,0.0000000000,0.0000000000,0.0606060606
Opinion,0.0756501182,0.6595744681,0.0023640662,0.0874704492,0.0614657210,0.0094562648,0.0000000000,0.0047281324,0.0000000000,0.0992907801
Backchannel,0.6666666667,0.3333333333,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
YesNoQuestion,0.5486725664,0.3893805310,0.0000000000,0.0353982301,0.0088495575,0.0088495575,0.0000000000,0.0000000000,0.0000000000,0.0088495575
WhQuestion/OpenQuestion,0.4893617021,0.4148936170,0.0000000000,0.0212765957,0.0319148936,0.0106382979,0.0000000000,0.0000000000,0.0000000000,0.0319148936
Agreement,0.1428571429,0.4285714286,0.0000000000,0.1428571429,0.1428571429,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1428571429
Answer,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Directive,0.0000000000,0.6666666667,0.0000000000,0.0000000000,0.3333333333,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Repair/Hedge,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Abandoned/Other,0.0591397849,0.0268817204,0.0000000000,0.1182795699,0.1666666667,0.0000000000,0.0000000000,0.0053763441,0.0000000000,0.6236559140
