current_act,Statement,Opinion,Backchannel,YesNoQuestion,WhQuestion/OpenQuestion,Agreement,Answer,Directive,Repair/Hedge,Abandoned/Other
Statement,0.1754385965,0.2912280702,0.3298245614,0.0245614035,0.0070175439,0.0701754386,0.0000000000,0.0070175439,0.0000000000,0.0947368421
Opinion,0.0861344538,0.2247899160,0.1722689076,0.0462184874,0.0294117647,0.3865546218,0.0000000000,0.0000000000,0.0042016807,0.0504201681
Backchannel,0.1571428571,0.2809523810,0.0047619048,0.1619047619,0.2238095238,0.0000000000,0.0000000000,0.0095238095,0.0000000000,0.1619047619
YesNoQuestion,0.4789915966,0.2016806723,0.0252100840,0.0084033613,0.0252100840,0.2268907563,0.0084033613,0.0000000000,0.0084033613,0.0168067227
WhQuestion/OpenQuestion,0.4296875000,0.2187500000,0.0078125000,0.2109375000,0.0390625000,0.0078125000,0.0000000000,0.0000000000,0.0234375000,0.0625000000
Agreement,0.1452991453,0.6794871795,0.0042735043,0.0427350427,0.0555555556,0.0042735043,0.0000000000,0.0042735043,0.0000000000,0.0641025641
Answer,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Directive,0.1000000000,0.0000000000,0.6000000000,0.0000000000,0.1000000000,0.0000000000,0.0000000000,0.0000000000,0.1000000000,0.1000000000
Repair/Hedge,0.0000000000,0.6250000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1250000000,0.0000000000,0.2500000000
Abandoned/Other,0.0534124629,0.0445103858,0.0682492582,0.0534124629,0.1275964392,0.0029673591,0.0000000000,0.0148367953,0.0029673591,0.6320474777
