current_act,Statement,Opinion,Backchannel,YesNoQuestion,WhQuestion/OpenQuestion,Agreement,Answer,Directive,Repair/Hedge,Abandoned/Other
Statement,0.3540856031,0.2023346304,0.0233463035,0.1828793774,0.1828793774,0.0000000000,0.0000000000,0.0038910506,0.0038910506,0.0466926070
Opinion,0.1055718475,0.5454545455,0.0058651026,0.1173020528,0.0850439883,0.0410557185,0.0000000000,0.0058651026,0.0000000000,0.0938416422
Backchannel,0.4444444444,0.2222222222,0.0000000000,0.0000000000,0.2222222222,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1111111111
YesNoQuestion,0.5242718447,0.4077669903,0.0000000000,0.0194174757,0.0194174757,0.0000000000,0.0097087379,0.0000000000,0.0000000000,0.0194174757
WhQuestion/OpenQuestion,0.5037593985,0.3684210526,0.0000000000,0.0451127820,0.0075187970,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0751879699
Agreement,0.1428571429,0.4285714286,0.0000000000,0.0000000000,0.1428571429,0.0714285714,0.0000000000,0.0000000000,0.0000000000,0.2142857143
Answer,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Directive,0.0000000000,0.3333333333,0.3333333333,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3333333333
Repair/Hedge,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Abandoned/Other,0.0468750000,0.0234375000,0.0000000000,0.0390625000,0.2812500000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.6093750000
