current_act,Statement,Opinion,Backchannel,YesNoQuestion,WhQuestion/OpenQuestion,Agreement,Answer,Directive,Repair/Hedge,Abandoned/Other
Statement,0.1419354839,0.3806451613,0.2322580645,0.0129032258,0.0354838710,0.0645161290,0.0000000000,0.0129032258,0.0032258065,0.1161290323
Opinion,0.1111111111,0.2997416021,0.1550387597,0.0206718346,0.0193798450,0.3204134367,0.0000000000,0.0051679587,0.0077519380,0.0607235142
Backchannel,0.1590909091,0.4772727273,0.0045454545,0.0954545455,0.1727272727,0.0045454545,0.0000000000,0.0227272727,0.0090909091,0.0545454545
YesNoQuestion,0.3698630137,0.1917808219,0.1369863014,0.0547945205,0.0136986301,0.2054794521,0.0136986301,0.0000000000,0.0000000000,0.0136986301
WhQuestion/OpenQuestion,0.4615384615,0.3615384615,0.0153846154,0.1076923077,0.0000000000,0.0153846154,0.0000000000,0.0000000000,0.0000000000,0.0384615385
Agreement,0.0934256055,0.8096885813,0.0000000000,0.0242214533,0.0484429066,0.0069204152,0.0000000000,0.0069204152,0.0000000000,0.0103806228
Answer,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Directive,0.1200000000,0.1600000000,0.3200000000,0.0000000000,0.0000000000,0.0400000000,0.0000000000,0.0000000000,0.0000000000,0.3600000000
Repair/Hedge,0.1818181818,0.5454545455,0.0000000000,0.0000000000,0.0909090909,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1818181818
Abandoned/Other,0.1013513514,0.1182432432,0.0236486486,0.0202702703,0.1689189189,0.0000000000,0.0000000000,0.0337837838,0.0067567568,0.5270270270
