current_act,Statement,Opinion,Backchannel,YesNoQuestion,WhQuestion/OpenQuestion,Agreement,Answer,Directive,Repair/Hedge,Abandoned/Other
Statement,0.2781065089,0.2583826430,0.1262327416,0.0848126233,0.1380670611,0.0453648915,0.0000000000,0.0098619329,0.0039447732,0.0552268245
Opinion,0.1572438163,0.4063604240,0.0388692580,0.0777385159,0.0954063604,0.1855123675,0.0000000000,0.0176678445,0.0035335689,0.0176678445
Backchannel,0.2065217391,0.1630434783,0.0000000000,0.1847826087,0.3478260870,0.0217391304,0.0000000000,0.0434782609,0.0108695652,0.0217391304
YesNoQuestion,0.5102040816,0.2653061224,0.0051020408,0.0459183673,0.0204081633,0.1020408163,0.0153061224,0.0102040816,0.0255102041,0.0000000000
WhQuestion/OpenQuestion,0.4349593496,0.1707317073,0.0081300813,0.2560975610,0.0934959350,0.0040650407,0.0000000000,0.0040650407,0.0121951220,0.0162601626
Agreement,0.2384105960,0.6622516556,0.0000000000,0.0529801325,0.0331125828,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0132450331
Answer,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Directive,0.3461538462,0.1153846154,0.0384615385,0.1153846154,0.1923076923,0.0000000000,0.0000000000,0.0384615385,0.0000000000,0.1538461538
Repair/Hedge,0.3846153846,0.2307692308,0.0769230769,0.0769230769,0.1538461538,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0769230769
Abandoned/Other,0.1058823529,0.0529411765,0.0117647059,0.0588235294,0.3058823529,0.0058823529,0.0000000000,0.0176470588,0.0000000000,0.4411764706
