current_act,Statement,Opinion,Backchannel,YesNoQuestion,WhQuestion/OpenQuestion,Agreement,Answer,Directive,Repair/Hedge,Abandoned/Other
Statement,0.1913875598,0.5598086124,0.0095693780,0.0909090909,0.0909090909,0.0191387560,0.0000000000,0.0095693780,0.0000000000,0.0287081340
Opinion,0.0902111324,0.8397312860,0.0019193858,0.0124760077,0.0028790787,0.0287907869,0.0000000000,0.0019193858,0.0009596929,0.0211132438
Backchannel,0.6000000000,0.4000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
YesNoQuestion,0.6111111111,0.3333333333,0.0000000000,0.0000000000,0.0555555556,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
WhQuestion/OpenQuestion,0.5873015873,0.3809523810,0.0158730159,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0158730159
Agreement,0.1666666667,0.7222222222,0.0000000000,0.0555555556,0.0000000000,0.0277777778,0.0000000000,0.0000000000,0.0000000000,0.0277777778
Answer,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Directive,0.3333333333,0.3333333333,0.0000000000,0.0000000000,0.0000000000,0.3333333333,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Repair/Hedge,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Abandoned/Other,0.0704225352,0.1549295775,0.0000000000,0.0140845070,0.2746478873,0.0070422535,0.0000000000,0.0140845070,0.0000000000,0.4647887324
