current_act,Statement,Opinion,Backchannel,YesNoQuestion,WhQuestion/OpenQuestion,Agreement,Answer,Directive,Repair/Hedge,Abandoned/Other
Statement,0.1189189189,0.3567567568,0.0108108108,0.2594594595,0.1945945946,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0594594595
Opinion,0.1217183771,0.5942720764,0.0000000000,0.0978520286,0.0668257757,0.0214797136,0.0000000000,0.0047732697,0.0000000000,0.0930787589
Backchannel,0.5000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5000000000
YesNoQuestion,0.5614035088,0.4035087719,0.0000000000,0.0175438596,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0175438596
WhQuestion/OpenQuestion,0.4242424242,0.5050505051,0.0000000000,0.0202020202,0.0101010101,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0404040404
Agreement,0.2222222222,0.5555555556,0.0000000000,0.2222222222,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Answer,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Directive,0.0000000000,0.3333333333,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.6666666667
Repair/Hedge,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Abandoned/Other,0.0393258427,0.0617977528,0.0000000000,0.1179775281,0.1910112360,0.0000000000,0.0000000000,0.0056179775,0.0000000000,0.5842696629
