current_act,Statement,Opinion,Backchannel,YesNoQuestion,WhQuestion/OpenQuestion,Agreement,Answer,Directive,Repair/Hedge,Abandoned/Other
Statement,0.0752688172,0.2849462366,0.0215053763,0.2741935484,0.2580645161,0.0053763441,0.0000000000,0.0053763441,0.0000000000,0.0752688172
Opinion,0.1107692308,0.5907692308,0.0000000000,0.1107692308,0.0769230769,0.0123076923,0.0000000000,0.0000000000,0.0000000000,0.0984615385
Backchannel,0.5000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5000000000
YesNoQuestion,0.6724137931,0.3017241379,0.0000000000,0.0172413793,0.0086206897,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
WhQuestion/OpenQuestion,0.5096153846,0.4423076923,0.0000000000,0.0288461538,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0192307692
Agreement,0.0000000000,0.1666666667,0.0000000000,0.5000000000,0.0000000000,0.1666666667,0.0000000000,0.0000000000,0.0000000000,0.1666666667
Answer,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Directive,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
Repair/Hedge,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Abandoned/Other,0.0285714286,0.0000000000,0.0000000000,0.1200000000,0.1771428571,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.6742857143
