current_act,Statement,Opinion,Backchannel,YesNoQuestion,WhQuestion/OpenQuestion,Agreement,Answer,Directive,Repair/Hedge,Abandoned/Other
Statement,0.3728070175,0.2061403509,0.0307017544,0.1798245614,0.1271929825,0.0087719298,0.0000000000,0.0000000000,0.0000000000,0.0745614035
Opinion,0.1176470588,0.5588235294,0.0036764706,0.0661764706,0.0992647059,0.0477941176,0.0000000000,0.0000000000,0.0000000000,0.1066176471
Backchannel,0.5555555556,0.1111111111,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.3333333333
YesNoQuestion,0.6075949367,0.3037974684,0.0000000000,0.0379746835,0.0253164557,0.0000000000,0.0000000000,0.0126582278,0.0000000000,0.0126582278
WhQuestion/OpenQuestion,0.4226804124,0.3814432990,0.0103092784,0.0103092784,0.0412371134,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1340206186
Agreement,0.1875000000,0.5000000000,0.0000000000,0.0625000000,0.0625000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1875000000
Answer,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Directive,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Repair/Hedge,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
Abandoned/Other,0.1549295775,0.0563380282,0.0000000000,0.0704225352,0.0704225352,0.0140845070,0.0000000000,0.0000000000,0.0000000000,0.6338028169
